business_name,website,category,city,state,email,contact_form,instagram,score,outreach_priority,outreach_status,initial_outreach_date,follow_up_1_date,follow_up_2_date,recycle_date,response_status,notes
Alpine Glow MedSpa,https://www.alpineglowmedspa.com/,Med Spa,Lemoyne,PA,,,,14,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Alesca Aesthetics,https://alescaaesthetics.com/,Med Spa,Lancaster,PA,,,,14,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
VeVe Medspa,https://www.vevemedspa.com/,Med Spa,Hershey,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Setzer Aesthetics,https://setzeraesthetics.com/,Med Spa,Harrisburg,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
G Nail Bar,https://gnailbar.com/,Nail Salon,Camp Hill,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Bellissima Haircuts,https://bellissimahaircuts.com/,Salon,Camp Hill,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Sarah M Lynch DMD,https://www.dentistcamphill.com/,Cosmetic Dentist,Camp Hill,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
MIKA Interior Design,https://www.mikainteriordesign.com/,Interior Designer,Harrisburg,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Vara Inc,https://varainc.com/,Interior Designer,Mechanicsburg,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
7 Layers Health Center,https://7layershc.com/,Esthetician,Lancaster,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
MikCollective Photography,https://www.mikcollectivephotography.com/,Wedding Photographer,Lancaster,PA,,,,13,Good: send personalized cold email,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
MediFresh Med Spa,https://medifreshmedspa.com/,Med Spa,Harrisburg,PA,,,,12,Maybe: send wide outreach,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Phoenix Salon,https://www.phoenixsalonllc.com/,Salon,Camp Hill,PA,,,,12,Maybe: send wide outreach,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Artistry Salon & Day Spa,https://www.artistry-salon.com/,Salon and Day Spa,Mechanicsburg,PA,,,,12,Maybe: send wide outreach,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Gordner Prosthodontics,https://www.gordnerprosthodontics.com/,Cosmetic Dentist,Camp Hill,PA,,,,12,Maybe: send wide outreach,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
Eve's Photography,https://www.evesphotography48.com/,Wedding Photographer,Lancaster,PA,,,,12,Maybe: send wide outreach,Ready,2026-06-05,2026-06-08,2026-06-12,2026-06-26,,First-pass lead from search snippet
